code,type,name,elevation_ft,continent,iso_country,municipality
FYWH,large_airport,Hosea Kutako International Airport,5640,AF,NA,Windhoek
FZAA,large_airport,Ndjili International Airport,1027,AF,CD,Kinshasa
FZAB,medium_airport,Ndolo Airport,915,AF,CD,N'dolo
FZBO,medium_airport,Bandundu Airport,1063,AF,CD,
FZCA,medium_airport,Kikwit Airport,1572,AF,CD,
FZEA,medium_airport,Mbandaka Airport,1040,AF,CD,Mbandaka
FZFD,medium_airport,Gbadolite Airport,1509,AF,CD,
FZFK,medium_airport,Gemena Airport,1378,AF,CD,Gemena
FZGA,medium_airport,Lisala Airport,1509,AF,CD,
FZIC,medium_airport,Bangoka International Airport,1417,AF,CD,Kisangani
FZJH,medium_airport,Matari Airport,2438,AF,CD,
FZKA,medium_airport,Bunia Airport,4045,AF,CD,
FZKJ,medium_airport,Buta Zega Airport,1378,AF,CD,
FZMA,medium_airport,Bukavu Kavumu Airport,5643,AF,CD,
FZNA,medium_airport,Goma International Airport,5089,AF,CD,Goma
FZOA,medium_airport,Kindu Airport,1630,AF,CD,Kindu
FZQA,medium_airport,Lubumbashi International Airport,4295,AF,CD,Lubumbashi
FZQM,medium_airport,Kolwezi Airport,5007,AF,CD,
FZRF,medium_airport,Kalemie Airport,2569,AF,CD,
FZSA,medium_airport,Kamina Base Airport,3543,AF,CD,
FZUA,medium_airport,Kananga Airport,2139,AF,CD,Kananga
FZWA,medium_airport,Mbuji Mayi Airport,2221,AF,CD,Mbuji Mayi
GABS,large_airport,Modibo Keita International Airport,1247,AF,ML,Bamako
GAGO,medium_airport,Gao Airport,870,AF,ML,
GAKY,medium_airport,Kayes Dag Dag Airport,164,AF,ML,
GAMB,medium_airport,Mopti Airport,906,AF,ML,
GATB,medium_airport,Timbuktu Airport,863,AF,ML,Timbuktu
GB-OUK,medium_airport,Outer Skerries Airport,76,EU,GB,Grunay Island
GBYD,medium_airport,Banjul International Airport,95,AF,GM,Banjul
GCFV,medium_airport,Fuerteventura Airport,85,EU,ES,Fuerteventura Island
GCHI,medium_airport,Hierro Airport,103,EU,ES,El Hierro Island
GCLA,large_airport,La Palma Airport,107,EU,ES,"Sta Cruz de la Palma, La Palma Island"
GCLP,large_airport,Gran Canaria Airport,78,EU,ES,Gran Canaria Island
GCRR,medium_airport,Lanzarote Airport,46,EU,ES,Lanzarote Island
GCTS,large_airport,Tenerife South Airport,209,EU,ES,Tenerife Island
GCXO,large_airport,Tenerife Norte Airport,2076,EU,ES,Tenerife Island
GE-0007,medium_airport,Ozurgeti Air Base,,AS,GE,Ozurgeti
GE-0010,medium_airport,Senaki Air Base,,AS,GE,Senaki
GEML,medium_airport,Melilla Airport,156,EU,ES,Melilla
GFBN,medium_airport,Sherbro International Airport,14,AF,SL,Bonthe
GFBO,medium_airport,Bo Airport,328,AF,SL,Bo
GFKE,medium_airport,Kenema Airport,485,AF,SL,Kenema
GFLL,large_airport,Lungi International Airport,84,AF,SL,Freetown
GFYE,medium_airport,Yengema Airport,1300,AF,SL,Yengema
GGOV,medium_airport,Osvaldo Vieira International Airport,129,AF,GW,Bissau
GLMR,medium_airport,Spriggs Payne Airport,25,AF,LR,Monrovia
GLRB,large_airport,Roberts International Airport,31,AF,LR,Monrovia
GMAD,medium_airport,Al Massira Airport,250,AF,MA,Agadir
GMAT,medium_airport,Tan Tan Airport,653,AF,MA,Tan Tan
GMFB,medium_airport,Bouarfa Airport,3630,AF,MA,Bouarfa
GMFF,medium_airport,SaÃ¯ss Airport,1900,AF,MA,Fes
GMFK,medium_airport,Moulay Ali Cherif Airport,3428,AF,MA,Errachidia
GMFM,medium_airport,Bassatine Airport,1890,AF,MA,Meknes
GMFO,medium_airport,Angads Airport,1535,AF,MA,Oujda
GMMA,medium_airport,Smara Airport,350,AF,EH,Smara
GMME,medium_airport,Rabat-SalÃ© Airport,276,AF,MA,Rabat
GMMH,medium_airport,Dakhla Airport,36,AF,EH,Dakhla
GMML,medium_airport,Hassan I Airport,207,AF,EH,El AaiÃºn
GMMN,large_airport,Mohammed V International Airport,656,AF,MA,Casablanca
GMMW,medium_airport,Nador International Airport,574,AF,MA,Nador
GMMX,medium_airport,Menara Airport,1545,AF,MA,Marrakech
GMMY,medium_airport,Kenitra Airport,16,AF,MA,
GMMZ,medium_airport,Ouarzazate Airport,3782,AF,MA,Ouarzazate
GMQ,medium_airport,Golog Maqin Airport,12426,AS,CN,Golog
GMTA,medium_airport,Cherif Al Idrissi Airport,95,AF,MA,Al Hoceima
GMTN,medium_airport,Saniat R'mel Airport,10,AF,MA,TÃ©touan
GMTT,medium_airport,Ibn Batouta Airport,62,AF,MA,Tangier
GOBD,large_airport,Blaise Diagne International Airport,290,AF,SN,Dakar
GOGG,medium_airport,Ziguinchor Airport,75,AF,SN,Ziguinchor
GOGS,medium_airport,Cap Skirring Airport,52,AF,SN,Cap Skirring
GOOK,medium_airport,Kaolack Airport,26,AF,SN,Kaolack
GOOY,large_airport,LÃ©opold SÃ©dar Senghor International Airport,85,AF,SN,Dakar
GOSM,medium_airport,Ouro Sogui Airport,85,AF,SN,Ouro Sogui
GOSS,medium_airport,Saint Louis Airport,9,AF,SN,Saint Louis
GOTB,medium_airport,Bakel Airport,98,AF,SN,Bakel
GOTK,medium_airport,KÃ©dougou Airport,584,AF,SN,KÃ©dougou
GOTT,medium_airport,Tambacounda Airport,161,AF,SN,Tambacounda
GQNO,large_airport,NouakchottâOumtounsy International Airport,9,AF,MR,Nouakchott
GQPA,medium_airport,Atar International Airport,734,AF,MR,Atar
GQPP,medium_airport,Nouadhibou International Airport,24,AF,MR,Nouadhibou
GUCY,medium_airport,Conakry International Airport,72,AF,GN,Conakry
GVAC,large_airport,AmÃ­lcar Cabral International Airport,177,AF,CV,Espargos
GVBA,medium_airport,Rabil Airport,69,AF,CV,Rabil
GVMA,medium_airport,Maio Airport,36,AF,CV,Vila do Maio
GVNP,medium_airport,Praia International Airport,230,AF,CV,Praia
GVSN,medium_airport,PreguiÃ§a Airport,669,AF,CV,PreguiÃ§a
GVSV,medium_airport,SÃ£o Pedro Airport,66,AF,CV,SÃ£o Pedro
HAAB,large_airport,Addis Ababa Bole International Airport,7630,AF,ET,Addis Ababa
HAAM,medium_airport,Arba Minch Airport,3901,AF,ET,
HAAX,medium_airport,Axum Airport,6959,AF,ET,
HABD,medium_airport,Bahir Dar Airport,5978,AF,ET,Bahir Dar
HADR,medium_airport,Aba Tenna Dejazmach Yilma International Airport,3827,AF,ET,Dire Dawa
HAGM,medium_airport,Gambella Airport,1614,AF,ET,Gambela
HAGN,medium_airport,Gonder Airport,6449,AF,ET,Gondar
HAGO,medium_airport,Gode Airport,834,AF,ET,Gode
HAHM,medium_airport,Harar Meda Airport,6201,AF,ET,Debre Zeyit
HAJJ,medium_airport,Wilwal International Airport,5954,AF,ET,Jijiga
HAJM,medium_airport,Jimma Airport,5500,AF,ET,Jimma
HAMK,medium_airport,Mekele Airport,7396,AF,ET,
HASO,medium_airport,Asosa Airport,5100,AF,ET,Asosa
HBBA,medium_airport,Bujumbura International Airport,2582,AF,BI,Bujumbura
HBQ,medium_airport,Qilian Airport,10377,AS,CN,Qilian
HCMH,large_airport,Egal International Airport,4471,AF,SO,Hargeisa
HCMI,medium_airport,Berbera Airport,30,AF,SO,Berbera
HCMK,medium_airport,Kisimayu Airport,49,AF,SO,
HCMM,medium_airport,Aden Adde International Airport,29,AF,SO,Mogadishu
HDAM,medium_airport,Djibouti-Ambouli Airport,49,AF,DJ,Djibouti City
HE13,medium_airport,Capital International Airport,816,AF,EG,
HE16,medium_airport,Birma Air Base,,AF,EG,Tanta
HE28,medium_airport,Gebel El Basur Air Base,85,AF,EG,
HE35,medium_airport,Abu Suwayr Air Base,49,AF,EG,Abu Suwayr
HE37,medium_airport,Bilbeis Air Base,90,AF,EG,Bilbeis
HEAL,medium_airport,El Alamein International Airport,143,AF,EG,El Alamein
HEAR,medium_airport,El Arish International Airport,121,AS,EG,El Arish
HEAT,medium_airport,Asyut International Airport,772,AF,EG,Asyut
HEAX,medium_airport,El Nouzha Airport,-6,AF,EG,Alexandria
HEAZ,medium_airport,Almaza Air Force Base,300,AF,EG,Cairo
HEBA,medium_airport,Borg El Arab International Airport,177,AF,EG,Alexandria
HEBL,medium_airport,Abu Simbel Airport,616,AF,EG,Abu Simbel
HEBS,medium_airport,Beni Suef Air Base,108,AF,EG,Beni Suef
HECA,large_airport,Cairo International Airport,382,AF,EG,Cairo
HECW,medium_airport,Cairo West Air Base,550,AF,EG,Cairo
HEGN,large_airport,Hurghada International Airport,52,AF,EG,Hurghada
HEGR,medium_airport,El Gora Airport,324,AF,EG,El Gora
HEGS,medium_airport,Jiyanklis Air Base,49,AF,EG,Jiyanklis
HELX,large_airport,Luxor International Airport,294,AF,EG,Luxor
HEMA,medium_airport,Marsa Alam International Airport,251,AF,EG,Marsa Alam
HEMK,medium_airport,Sohag International Airport,310,AF,EG,Sohag
HEMM,medium_airport,Mersa Matruh Airport,94,AF,EG,Mersa Matruh
HEPS,medium_airport,Port Said Airport,8,AF,EG,Port Said
HESC,medium_airport,St Catherine International Airport,4368,AS,EG,
HESH,medium_airport,Sharm El Sheikh International Airport,143,AS,EG,Sharm el-Sheikh
HESN,medium_airport,Aswan International Airport,662,AF,EG,Aswan
HESX,medium_airport,Sphinx International Airport,553,AF,EG,Giza
HETB,medium_airport,Taba International Airport,2415,AS,EG,Taba
HHAS,medium_airport,Asmara International Airport,7661,AF,ER,Asmara
HHMS,medium_airport,Massawa International Airport,194,AF,ER,Massawa
HHSB,medium_airport,Assab International Airport,46,AF,ER,Asab
HIA,medium_airport,Lianshui Airport,28,AS,CN,Huai'an
HKAM,medium_airport,Amboseli Airport,3755,AF,KE,Amboseli National Park
HKEL,medium_airport,Eldoret International Airport,6941,AF,KE,Eldoret
